wptradtor1.ceca.es,vda,50G
cipres-to.ceca.es,vda,30G
wpcktor1.ceca.es,vda,100G
liquen-tor.ceca.es,sda,66G
wpcecator1.ceca.es,vda,75G
wpckyec1.ceca.es,vda,100G
wpcecayec1.ceca.es,vda,75G
cipres-yec.ceca.es,vda,30G
cipres-to.ceca.es,vdb,2T
liquen-tor.ceca.es,sdb,1T
wpckyec1.ceca.es,vdb,15G
cipres-to.ceca.es,vdc,1.5T
cipres-yec.ceca.es,vdb,2T
liquen-yec.ceca.es,sda,66G
wptradyec1.ceca.es,vda,50G
cipres-to.ceca.es,vdd,550G
redis1.ceca.es,sda,66G
cipres-yec.ceca.es,vdc,500G
liquen-yec.ceca.es,sdb,1000G
redis2.ceca.es,sda,66G
redis3.ceca.es,sda,66G
3dstor1,vda,30G
cipres-yec.ceca.es,vdd,15G
be3dstor1,vda,60G
pgw3dstor,sda,66G
pgw3dstor2,sda,66G
3dsyec1,vda,30G
3dstor1,vdb,20G
pgw3dstor,sdb,50G
be3dsyec1,vda,60G
pgw3dstor2,sdb,50G
3dsyec1,vdb,20G
pgw3dsyec,sda,66G
pgw3dsyec2,sda,66G
redispro1,sda,66G
redispro2,sda,66G
redispro3,sda,66G
pgw3dsyec,sdb,50G
pgw3dsyec2,sdb,50G
bromelia.ceca.es,vda,30G
3dsk8sworker1,sda,100G
3dsk8smaster1,sda,100G
3dsk8sworker2,sda,100G
3dsk8sworker1,sdb,50G
3dsk8smaster2,sda,100G
bromelia.ceca.es,vdb,6G
3dsk8smaster3,sda,66G
3dsk8sworker2,sdb,50G
