Nombre,SO,Estado,vCPUs,RAM_GB,Cluster,Host,Num_Discos,Tamano_Total_GB
3dsk8sworker1,rhel_8x64,up,20,36.0,N/A,N/A,0,0.0
3dsyec1,other_linux,up,6,16.0,N/A,N/A,0,0.0
alfappyec1,rhel_7x64,up,8,40.0,N/A,N/A,0,0.0
alfwebyec1,rhel_7x64,up,4,8.0,N/A,N/A,0,0.0
be3dsyec1,rhel_8x64,up,4,12.0,N/A,N/A,0,0.0
bepci01,rhel_8x64,up,4,24.0,N/A,N/A,0,0.0
bxacter01,rhel_8x64,down,16,32.0,N/A,N/A,0,0.0
cbapsmp1_20240110,rhel_8x64,down,1,8.0,N/A,N/A,0,0.0
cbapsmp1r,rhel_8x64,up,1,8.0,N/A,N/A,0,0.0
cbapsmp1t,rhel_8x64,down,1,8.0,N/A,N/A,0,0.0
CH40312834,rhel_8x64,down,4,8.0,N/A,N/A,0,0.0
cipres-yec,rhel_7x64,up,4,24.0,N/A,N/A,0,0.0
conversor-yec1,rhel_7x64,up,6,23.96,N/A,N/A,0,0.0
databipreweb,rhel_8x64,down,2,4.0,N/A,N/A,0,0.0
delkdata,rhel_8x64,down,4,16.0,N/A,N/A,0,0.0
dipulso,rhel_7x64,down,4,32.0,N/A,N/A,0,0.0
drpapbc,rhel_8x64,up,2,4.0,N/A,N/A,0,0.0
dxacter0,rhel_8x64,up,8,16.0,N/A,N/A,0,0.0
fxacter01,rhel_8x64,down,8,16.0,N/A,N/A,0,0.0
giftcard01,rhel_8x64,up,2,8.19,N/A,N/A,0,0.0
giftcard02,rhel_8x64,up,2,8.19,N/A,N/A,0,0.0
HostedEngine,rhel_7x64,up,4,16.0,N/A,N/A,0,0.0
jmsctc,rhel_8x64,down,8,16.0,N/A,N/A,0,0.0
Kyndryl_RHEL8U,rhel_8x64,down,1,1.0,N/A,N/A,0,0.0
liquen-yec,rhel_8x64,up,4,24.0,N/A,N/A,0,0.0
mfelkyec1,rhel_8x64,up,8,32.0,N/A,N/A,0,0.0
mftsrv1r,other,up,4,8.0,N/A,N/A,0,0.0
mftsrv1r2502180213,other,down,4,8.0,N/A,N/A,0,0.0
ncyec1,other_linux,up,2,12.0,N/A,N/A,0,0.0
pgw3dsyec,rhel_8x64,up,4,16.0,N/A,N/A,0,0.0
pgw3dsyec2,rhel_8x64,up,4,16.0,N/A,N/A,0,0.0
ppdyec2,rhel_7x64,up,10,16.0,N/A,N/A,0,0.0
psqldata1,rhel_8x64,up,8,32.0,N/A,N/A,0,0.0
redis1,rhel_8x64,up,2,4.0,N/A,N/A,0,0.0
redis2,rhel_8x64,up,2,4.0,N/A,N/A,0,0.0
redis3,rhel_8x64,up,2,4.0,N/A,N/A,0,0.0
redistest1,rhel_8x64,down,2,4.0,N/A,N/A,0,0.0
redistest2,rhel_8x64,down,2,4.0,N/A,N/A,0,0.0
redistest3,rhel_8x64,down,2,4.0,N/A,N/A,0,0.0
sctcyec,rhel_8x64,down,2,8.0,N/A,N/A,0,0.0
wpcecayec1,rhel_8x64,up,6,16.0,N/A,N/A,0,0.0
